Name,Accuracy
a1,"[64.10186941,0.35335689,7.438016529,65.0461369]"
a2,"[98.95692224,92.30769231,39.66942149,99.94491117]"
a3,"[98.79436467,63.1147541,63.63636364,99.38025065]"




1 & 91 & 9 & 1 & 0 \\
2 & 254 & 0 & 0 & 0 \\
3 & 272 & 3 & 0 & 0 \\
4 & 443 & 0 & 1 & 0 \\
5 & 250 & 7 & 1 & 0 \\
6 & 195 & 8 & 1 & 0 \\
7 & 347 & 6 & 2 & 1 \\
8 & 509 & 3 & 1 & 0 \\
9 & 149 & 2 & 0 & 0 \\
10 & 546 & 1 & 0 & 0 \\
11 & 360 & 4 & 0 & 0 \\
12 & 299 & 6 & 0 & 0 \\
13 & 789 & 4 & 0 & 0 \\
14 & 272 & 6 & 3 & 0 \\
15 & 363 & 4 & 1 & 0 \\
16 & 435 & 9 & 1 & 1 \\
17 & 207 & 0 & 8 & 0 \\
18 & 724 & 7 & 1 & 1 \\
19 & 259 & 3 & 2 & 0 \\
20 & 282 & 1 & 1 & 0 \\
21 & 210 & 10 & 5 & 1 \\
