Name,Type,Times,TN,TP,FN,FP
1,Grammar,2.128331899642944,91,9,1,0
2,Grammar,5.34287428855896,254,0,0,0
3,Grammar,5.116395711898804,272,3,0,0
4,Grammar,6.668892860412598, 443,0,1,0
5,Grammar,4.165346622467041,250,7,1,0
6,Grammar,4.639310836791992,194,9,0,1
7,Grammar,4.622781991958618,347,6,2,1
8,Grammar,9.069387435913086,509,3,1,0
9,Grammar,4.585775375366211,149,2,0,0
10,Grammar,18.05452871322632,546,1,0,0
11,Grammar,6.603804588317871,360,4,0,0
12,Grammar,10.26485562324524,299,6,0,0
13,Grammar,19.629664659500122,789,4,0,0
14,Grammar,10.184892177581787,271,7,2,1
15,Grammar,10.466702699661255,362,4,1,1
16,Grammar,10.16784954071045,435,9,1,1
17,Grammar,4.149869680404663,207,0,8,0
18,Grammar,12.508783340454102,724,7,1,1
19,Grammar,7.958266496658325,259,4,1,0
20,Grammar,5.097129583358765,280,1,1,2
21,Grammar,4.446963548660278,210,9,5,2
